obs_id,timestart,timeend,valor,timeupdate
16201712622,2021-05-03 08:00:00,2021-05-03 09:00:00,0,2021-05-03 08:17:18.342919
16201885641,2021-05-03 09:00:00,2021-05-03 10:00:00,0,2021-05-03 09:17:28.440692
16202052264,2021-05-03 10:00:00,2021-05-03 11:00:00,0,2021-05-03 10:17:15.291364
16202566103,2021-05-03 11:00:00,2021-05-03 12:00:00,0,2021-05-03 11:18:32.711085
16203173353,2021-05-03 12:00:00,2021-05-03 13:00:00,0,2021-05-03 12:17:36.349781
16203480118,2021-05-03 13:00:00,2021-05-03 14:00:00,0,2021-05-03 13:18:41.235815
16203670885,2021-05-03 14:00:00,2021-05-03 15:00:00,11.68,2021-05-03 14:17:27.380982
16203862715,2021-05-03 15:00:00,2021-05-03 16:00:00,0.25,2021-05-03 15:17:42.118015
16204049197,2021-05-03 16:00:00,2021-05-03 17:00:00,0,2021-05-03 16:17:06.948073
16204237022,2021-05-03 17:00:00,2021-05-03 18:00:00,0,2021-05-03 17:17:10.513257
16204426214,2021-05-03 18:00:00,2021-05-03 19:00:00,0.25,2021-05-03 18:17:27.142131
16204634865,2021-05-03 19:00:00,2021-05-03 20:00:00,0,2021-05-03 19:17:22.549576
16204836098,2021-05-03 20:00:00,2021-05-03 21:00:00,0,2021-05-03 20:17:09.403055
16205034182,2021-05-03 21:00:00,2021-05-03 22:00:00,2.03,2021-05-03 21:17:28.45139
16205185477,2021-05-03 22:00:00,2021-05-03 23:00:00,0,2021-05-03 22:17:44.376757
16205883279,2021-05-03 23:00:00,2021-05-04 00:00:00,0,2021-05-03 23:17:15.071468
16206447611,2021-05-04 00:00:00,2021-05-04 01:00:00,0,2021-05-04 00:24:17.455149
16206596985,2021-05-04 01:00:00,2021-05-04 02:00:00,0,2021-05-04 01:17:31.641312
16206717557,2021-05-04 02:00:00,2021-05-04 03:00:00,0,2021-05-04 02:17:14.664761
16206788817,2021-05-04 03:00:00,2021-05-04 04:00:00,0,2021-05-04 03:17:12.308766
16206850750,2021-05-04 04:00:00,2021-05-04 05:00:00,0,2021-05-04 04:17:25.591517
16206989913,2021-05-04 05:00:00,2021-05-04 06:00:00,0,2021-05-04 05:17:12.64356
16207134405,2021-05-04 06:00:00,2021-05-04 07:00:00,0,2021-05-04 06:17:18.296624
16207295963,2021-05-04 07:00:00,2021-05-04 08:00:00,0,2021-05-04 07:17:18.007939
16207447411,2021-05-04 08:00:00,2021-05-04 09:00:00,0,2021-05-04 08:17:15.563992
16207595396,2021-05-04 09:00:00,2021-05-04 10:00:00,0,2021-05-04 09:17:23.328182
